Training_ID,Kernel,Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
112,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904367552677418,706,55,662,17
112,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947356339133975,697,17,700,26
113,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932541267113049,696,18,699,27
113,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905197042386924,706,55,662,17
113,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947356339133974,697,17,700,26
114,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932039715195674,696,18,699,27
114,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905553915866594,706,55,662,17
114,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947664986467744,697,17,700,26
115,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931538163278298,696,18,699,27
115,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904589392948564,706,55,662,17
115,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947664986467744,697,17,700,26
116,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932290491154361,696,18,699,27
116,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905197042386924,706,55,662,17
116,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948185828843479,697,17,700,26
117,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932271200696,696,18,699,27
117,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904579747719386,706,55,662,17
117,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.994725988684217,697,17,700,26
118,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931461001444855,696,18,699,27
118,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903885291218404,706,55,662,17
118,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947684276926103,697,17,700,26
119,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931345258694692,696,18,699,27
119,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903489836822013,706,55,662,17
119,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947684276926104,697,17,700,26
120,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931846810612067,696,18,699,27
120,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903615224801356,706,55,662,17
120,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947510662800858,697,17,700,26
121,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931981843820591,696,18,699,27
121,poly,0.95,0.9764868603042877,0.9232914923291492,0.990641234126364,706,55,662,17
121,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947472081884138,697,17,700,26
122,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932039715195673,696,18,699,27
122,poly,0.95,0.9764868603042877,0.9232914923291492,0.990480158799053,706,55,662,17
122,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947066982258566,697,17,700,26
123,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932078296112394,696,18,699,27
123,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905216332845285,706,55,662,17
123,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947259886842171,697,17,700,26
124,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932290491154361,696,18,699,27
124,poly,0.95,0.9764868603042877,0.9232914923291492,0.990507165440758,706,55,662,17
124,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947394920050696,697,17,700,26
125,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932097586570754,696,18,699,27
125,poly,0.95,0.9764868603042877,0.9232914923291492,0.9902409571153821,706,55,662,17
125,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947915762426431,697,17,700,26
126,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931248806402889,696,18,699,27
126,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905428527887251,706,55,662,17
126,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947394920050696,697,17,700,26
127,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931403130069774,696,18,699,27
127,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905245268532824,706,55,662,17
127,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948070086093316,697,17,700,26
128,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932039715195674,696,18,699,27
128,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905409237428889,706,55,662,17
128,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.994725988684217,697,17,700,26
129,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931152354111086,696,18,699,27
129,poly,0.95,0.9764868603042877,0.9232914923291492,0.990507165440758,706,55,662,17
129,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947607115092663,697,17,700,26
130,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931480291903216,696,18,699,27
130,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904994492574137,706,55,662,17
130,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947800019676267,697,17,700,26
131,linear,0.96875,0.9626556016597511,0.9748953974895398,0.99316346155701,696,18,699,27
131,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905033073490859,706,55,662,17
131,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946816206299879,697,17,700,26
132,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931441710986495,696,18,699,27
132,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903894936447585,706,55,662,17
132,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947722857842827,697,17,700,26
133,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931441710986495,696,18,699,27
133,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903837065072504,706,55,662,17
133,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947742148301186,697,17,700,26
134,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932174748404197,696,18,699,27
134,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904685845240369,706,55,662,17
134,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947645696009383,697,17,700,26
135,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931750358320263,696,18,699,27
135,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904926975969875,706,55,662,17
135,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.994725988684217,697,17,700,26
